WARD,NAME,NAME_FR,SECTOR_EN,SECTOR_FR
1,Orléans East-Cumberland,Orléans-Est-Cumberland,Suburban,Suburbain
2,Orléans West-Innes,Orléans-Ouest-Innes,Suburban,Suburbain
3,Barrhaven West,Barrhaven-Ouest,Suburban,Suburbain
4,Kanata North,Kanata-Nord,Suburban,Suburbain
5,West Carleton-March,West Carleton-March,Rural,Rural
6,Stittsville,Stittsville,Suburban,Suburbain
7,Bay,Baie,Urban,Urbain
8,College,Collège,Urban,Urbain
9,Knoxdale-Merivale,Knoxdale-Merivale,Urban,Urbain
10,Gloucester-Southgate,Gloucester-Southgate,Urban,Urbain
11,Beacon Hill-Cyrville,Beacon Hill-Cyrville,Urban,Urbain
12,Rideau-Vanier,Rideau-Vanier,Urban,Urbain
13,Rideau-Rockcliffe,Rideau-Rockcliffe,Urban,Urbain
14,Somerset,Somerset,Urban,Urbain
15,Kitchissippi,Kitchissippi,Urban,Urbain
16,River,Rivière,Urban,Urbain
17,Capital,Capitale,Urban,Urbain
18,Alta Vista,Alta Vista,Urban,Urbain
19,Orléans South-Navan,Orléans-Sud-Navan,Suburban,Suburbain
20,Osgoode,Osgoode,Rural,Rural
21,Rideau-Jock,Rideau-Jock,Rural,Rural
22,Riverside South-Findlay Creek,Riverside-Sud-Findlay Creek,Suburban,Suburbain
23,Kanata South,Kanata-Sud,Suburban,Suburbain
24,Barrhaven East,Barrhaven-Est,Suburban,Suburbain
